,unique_id,district,site,chickens,cows,pigs,bikes,goats,sheep,ducks,pesticide,yield_kg_pa,plot_acres,can_kg,dap_kg,urea_kg,weed,seed_kg,hybrid,seed_kg_pa,seed_kg_ph,yield_kg_ph,country,year,season,crop,can_kg_pa,can_kg_ph,dap_kg_pa,dap_kg_ph,urea_kg_pa,urea_kg_ph,hh_num,basal_method,lime_kg,field_latitude,field_longitude,chicks,oxen,seed_type,plot_hectares,FAW,termites,striga,electricity,rabbits,flood,comp_source_manure,stemborer,mlnd,cutworms,msv,gls,distance_min,slope_angle_num,slope,seed_depth_num,guinea_fowl,hh_num_under18,distance_meter,fertility,drought,compost,comp_method,comp_quality,prev_season_lime_kg,hybridseed_kg_pa,aphids,localseed_kg_pa,lime_kg_pa,lime_kg_ph,localseed_kg_ph,hybridseed_kg_ph,comp_kg_pa,comp_wb_pa,prev_season_yield,hh_num_under5,npk_kg,lime_method,prev_season_npk_kg,prev_season_dap_kg,prev_season_can_kg,prev_season_urea_kg,chicken_binary,goats_binary,cows_binary,radio_binary,bikes_binary,npk_kg_pa,pest_disease,comp_source,localseed_kg,npk_kg_ph,dap_method,urea_method,heavy_rain,comp_kg_ph,npk_method,hail,plants_sqm_spacing,planting_method,anthracnose,blight,row_spacing,plant_spacing,slope_angle_des,seed_depth_est,harvest_date,plant_date,hybridseed_kg,stalk_rot,kelnel_rot,sitename,site_longitude,site_latitude
38938,87c96087,Nyagatare,_Nyabitekeri,,,,,,,,0.0,786.8894,0.29652601480484,,,,1.0,45.0,,,,1944.4431,Rwanda,2019,b season,potato,,,0.0,0.0,0.0,0.0,6.0,,,-1.27927687759621,30.2614969959353,,,,0.120000004768372,,,,,,,,,,,,,31-60 minutes,3.0,,,,,,,,1.0,hole,average,,0.0,,,0.0,0.0,,0.0,252.92876,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,0.0,624.99963,,,,,,,,,,,,2019-03-06,,,,,30.25158318,-1.297645996
39065,e2ad9f47,Karongi,_Biguhu,,,,,,,,0.0,0.0,0.0494210012257099,,,,2.0,3.0,,,,0.0,Rwanda,2019,b season,potato,,,0.0,0.0,0.0,0.0,3.0,,,-2.2387326,29.4561328,,,,0.0200000014156103,,,,,,,,,,,,,11-15 minutes,2.0,,,,,,,,0.0,,,,0.0,,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,0.0,1.0,,,0.0,,,1.0,0.0,,,,,,,,,,,,2019-03-20,,,,,29.47367293,-2.242459201
39175,5027d774,Rutsiro,_Ruronde,,,,,,,,1.0,910.5434,0.0617762506008148,,,,1.0,70.0,,,,2249.9983,Rwanda,2019,b season,potato,,,0.0,0.0,0.0,0.0,4.0,,,-1.96775380997808,29.5092487429426,,,,0.025000000372529,,,,,,,,,,,,,2-5 minutes,3.0,,,,,,,,1.0,hole,average,,0.0,,,0.0,0.0,,0.0,4856.2319,,,,,,,,,,,,,,,0.0,1.0,,,0.0,,,1.0,11999.992,,,,,,,,,,,,2019-03-16,,,,,29.51190478,-1.959879115
39177,20f207a2,Rutsiro,_Muyira A,,,,,,,,1.0,3316.1768,0.07413150370121,,,,1.0,120.0,,,,8194.4385,Rwanda,2019,b season,potato,,,0.0,0.0,0.0,0.0,6.0,,,-1.91351766511874,29.4432107019489,,,,0.0300000011920929,,,,,,,,,,,,,6-10 minutes,3.0,,,,,,,,1.0,hole,average,,0.0,,,0.0,0.0,,0.0,4046.8601,,,,,,,,,,,,,,,121.4058,1.0,,,299.99982,,,1.0,9999.9941,apply in hole,,,,,,,,,,,2019-03-22,,,,,29.43955818,-1.914985933
39284,a1ea738e,Rutsiro,_Ruronde,,,,,,,,1.0,1405.1597,0.0988420024514198,,,,1.0,30.0,,,,3472.2197,Rwanda,2019,b season,potato,,,0.0,0.0,0.0,0.0,3.0,,,-1.9507664977489,29.5066156878154,,,,0.0400000028312206,,,,,,,,,,,,,less than 2 minutes,0.0,,,,,,,,1.0,hole,good,,0.0,,,0.0,0.0,,0.0,4046.8601,,,,,,,,,,,,,,,10.11715,1.0,,,24.999985,,,1.0,9999.9941,apply in hole,,,,,,,,,,,2019-03-13,,,,,29.51190478,-1.959879115
39432,33914163,Rutsiro,_Muyira B,,,,,,,,1.0,977.99109,0.037065751850605,,,,1.0,50.0,,,,2416.6648,Rwanda,2019,b season,potato,,,0.0,0.0,0.0,0.0,5.0,,,-1.93037155796974,29.4454983205428,,,,0.0150000005960464,,,,,,,,,,,,,less than 2 minutes,0.0,,,,,,,,1.0,hole,good,,0.0,,,0.0,0.0,,0.0,4046.8601,,,,,,,,,,,,,,,67.447662,1.0,,,166.66655,,,1.0,9999.9941,broadcast,,,,,,,,,,,2019-03-24,,,,,29.43955818,-1.914985933
39595,977b1049,Gatsibo,_Bushobora,,,,,,,,0.0,1955.9823,0.127753287553787,,,,1.0,75.0,,,,4833.3301,Rwanda,2019,b season,potato,,,0.0,0.0,0.0,0.0,7.0,,,-1.7364419476825,30.3576170392726,,,,0.0516999997198582,,,,,,,,,,,,,less than 2 minutes,2.0,,,,,,,,1.0,hole,good,,0.0,,,0.0,0.0,,0.0,1174.1373,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,1.0,2901.3521,,,,,,,,,,,,2019-02-21,,,,,30.35081567,-1.727696576
39597,c39771db,Gatsibo,_Cyabusheshe,,,,,,,,0.0,2248.2554,0.370657503604889,,,,1.0,75.0,,,,5555.5513,Rwanda,2019,b season,potato,,,0.0,0.0,0.0,0.0,3.0,,,-1.6020491,30.3858828,,,,0.150000005960465,,,,,,,,,,,,,16-30 minutes,2.0,,,,,,,,0.0,,,,0.0,,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,0.0,1.0,,,0.0,,,0.0,0.0,,,,,,,60.0,40.0,,,,2019-02-15,,,,,30.34736377,-1.667631857
39628,70d5aa5c,Karongi,_Nyamugwagwa,,,,,,,,0.0,2104.3672,0.0494210012257099,,,,2.0,50.0,,,,5199.9966,Rwanda,2019,b season,potato,,,0.0,0.0,0.0,0.0,7.0,,,-2.2128827,29.4420984,,,,0.0200000014156103,,,,,,,,,,,,,16-30 minutes,2.0,,,,,,,,1.0,hole,poor,,0.0,,,0.0,0.0,,0.0,1618.744,,,,,,,,,,,,,,,101.1715,1.0,,,249.99983,,,0.0,3999.9973,apply in hole,,,,,,,,,,,2019-03-09,,,,,29.44739345,-2.217800836
39635,049b0705,Gatsibo,_Bushobora,,,,,,,,0.0,6272.6328,0.277251809835434,,,,1.0,0.0,,,,15499.989,Rwanda,2019,b season,potato,,,0.0,0.0,0.0,0.0,4.0,,,-1.70010142791494,30.3486134443655,,,,0.112199999392033,,,,,,,,,,,,,2-5 minutes,0.0,,,,,,,,1.0,hole,good,,0.0,,,0.0,0.0,,0.0,1803.4135,,,,,,,,,,,,,,,25.247789,0.0,,,62.38855,,,0.0,4456.3247,apply in hole,,,,,,50.666668,39.666668,,,,2019-02-15,,,,,30.35081567,-1.727696576
39742,ade25993,Mugonero,_Nkomane A,,,,,,,,1.0,5744.293,0.07413150370121,,,,2.0,300.0,,,,14194.436,Rwanda,2019,b season,potato,,,0.0,0.0,0.0,0.0,6.0,,,-2.33307635363201,29.3908447169318,,,,0.0300000011920929,,,,,,,,,,,,,less than 2 minutes,1.0,,,,,,,,1.0,hole,average,,0.0,,,0.0,0.0,,0.0,4046.8601,,,,,,,,,,,,,,,80.937202,1.0,,,199.99988,,,0.0,9999.9941,apply in hole,,,,,,60.0,36.666668,,,,2019-03-27,,,,,29.37722973,-2.31892376
39783,f05e2330,Gatsibo,_Cyabusheshe,,,,,,,,0.0,921.78473,0.321236491203308,,,,1.0,15.0,,,,2277.7761,Rwanda,2019,b season,potato,,,0.0,0.0,0.0,0.0,7.0,,,-1.6738638,30.4064135,,,,0.129999995231628,,,,,,,,,,,,,less than 2 minutes,2.0,,,,,,,,0.0,,,,0.0,,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,0.0,1.0,,,0.0,,,1.0,0.0,,,,,,,58.333332,43.333332,,,,2019-03-30,,,,,30.34736377,-1.667631857
