,unique_id,district,site,chickens,cows,pigs,bikes,goats,sheep,ducks,pesticide,yield_kg_pa,plot_acres,can_kg,dap_kg,urea_kg,weed,seed_kg,hybrid,seed_kg_pa,seed_kg_ph,yield_kg_ph,country,year,season,crop,can_kg_pa,can_kg_ph,dap_kg_pa,dap_kg_ph,urea_kg_pa,urea_kg_ph,hh_num,basal_method,lime_kg,field_latitude,field_longitude,chicks,oxen,seed_type,plot_hectares,FAW,termites,striga,electricity,rabbits,flood,comp_source_manure,stemborer,mlnd,cutworms,msv,gls,distance_min,slope_angle_num,slope,seed_depth_num,guinea_fowl,hh_num_under18,distance_meter,fertility,drought,compost,comp_method,comp_quality,prev_season_lime_kg,hybridseed_kg_pa,aphids,localseed_kg_pa,lime_kg_pa,lime_kg_ph,localseed_kg_ph,hybridseed_kg_ph,comp_kg_pa,comp_wb_pa,prev_season_yield,hh_num_under5,npk_kg,lime_method,prev_season_npk_kg,prev_season_dap_kg,prev_season_can_kg,prev_season_urea_kg,chicken_binary,goats_binary,cows_binary,radio_binary,bikes_binary,npk_kg_pa,pest_disease,comp_source,localseed_kg,npk_kg_ph,dap_method,urea_method,heavy_rain,comp_kg_ph,npk_method,hail,plants_sqm_spacing,planting_method,anthracnose,blight,row_spacing,plant_spacing,slope_angle_des,seed_depth_est,harvest_date,plant_date,hybridseed_kg,stalk_rot,kelnel_rot,sitename,site_longitude,site_latitude
29788,330d735d,Nyanza,Rukingiro,0.0,1.0,0.0,0.0,1.0,0.0,,0.0,2751.8647,0.222415536642075,,,,2.0,,1.0,,,6799.9956,Rwanda,2016,a season,maize,,,0.0,0.0,0.0,0.0,,,,-2.32707177560664,29.9236148163559,,,nsp,0.0900085121393204,,,,0.0,,,,,,,,,,,,,,,,,,1.0,hole,good,,0.0,,,,,,0.0,3597.209,,,,,,,,,,,,,,,0.0,0.0,,,0.0,apply in hole,,,8888.8828,,,,,,,75.0,40.0,,,2016-02-05,2016-10-05,,,,,29.91135279,-2.317129828
29796,28f53928,Nyamasheke,Gako A,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2076.0391,0.0494256727397442,,,,2.0,,0.0,,,5129.9961,Rwanda,2016,a season,maize,,,40.468601,99.999939,40.468601,99.999939,,,,-2.35521842859228,29.1463788793441,,,other,0.0200018901377916,,,,0.0,,,,,,,,,,,,,,,,,,1.0,hole,average,,0.0,,,,,,0.0,3035.145,,,,,,,,,,,,,,,0.0,0.0,,,0.0,apply in hole,apply in hole,,7499.9951,,,,,,,,,,,2016-02-20,2015-09-15,,,,,29.12907426,-2.366415562
29806,b7ca7626,Rutsiro,Mataba,3.0,3.0,0.0,0.0,2.0,1.0,,0.0,1098.7225,0.247128367424011,,,,1.0,,1.0,,,2714.9983,Rwanda,2016,a season,maize,,,0.0,0.0,0.0,0.0,,,,-1.91208257351273,29.4008302910238,,,nsp,0.100009456276894,,,,0.0,,,,,,,,,,,,,,,,,,1.0,hole,average,,0.0,,,,,,0.0,607.02899,,,,,,,,,,,,,,,0.0,1.0,,,0.0,,,,1499.999,,,,,,,50.0,40.0,,,2016-03-16,2016-03-29,,,,,29.41033562,-1.926739132
29808,bd2ec85d,Gatsibo,murambi  B,2.0,1.0,0.0,1.0,2.0,0.0,,0.0,2848.9895,0.0247128363698721,,,,1.0,,1.0,,,7039.9956,Rwanda,2016,a season,maize,,,40.468601,99.999939,0.0,0.0,,,,-1.80726808229667,30.3770417686521,,,pan_53,0.0100009450688958,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,,,0.0,apply in hole,,,0.0,,,,,,,80.0,70.0,,,2016-02-18,2015-10-10,,,,,30.35378991,-1.777088497
29810,7ebff6a1,Rutsiro,busuku,0.0,0.0,1.0,0.0,2.0,2.0,,0.0,874.12177,0.197702690958977,,,,1.0,,0.0,,,2159.9985,Rwanda,2016,a season,maize,,,0.0,0.0,0.0,0.0,,,,-1.74338834761125,29.3735172968966,,,nsp,0.0800075605511665,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,0.0,,,,,,,70.0,40.0,,,2016-02-29,2015-09-20,,,,,29.4095106,-1.751044538
29830,bfbb6e7c,Gatsibo,Gakoni,5.0,1.0,0.0,1.0,2.0,0.0,,0.0,5341.855,1.23564183712006,,,,1.0,,0.0,,,13199.991,Rwanda,2016,a season,maize,,,40.468601,99.999939,20.234301,49.999969,,,,-1.83468787804354,30.4175659329638,,,nsp,0.500047266483307,,,,1.0,,,,,,,,,,,,,,,,,,1.0,hole,average,,0.0,,,,,,0.0,323.74881,,,,,,,,,,,,,,,0.0,0.0,,,0.0,apply in hole,apply in hole,,799.99951,,,,,,,80.0,60.0,,,2016-02-08,2015-09-19,,,,,30.41494981,-1.83099755
29843,4fdba628,Rutsiro,Terimbere,5.0,0.0,0.0,0.0,1.0,0.0,,0.0,2148.8826,0.0988513454794884,,,,1.0,,1.0,,,5309.9961,Rwanda,2016,a season,maize,,,0.0,0.0,0.0,0.0,,,,-1.75014389258195,29.3410879330226,,,nsp,0.0400037802755833,,,,0.0,,,,,,,,,,,,,,,,,,1.0,hole,good,,0.0,,,,,,0.0,1264.6438,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,3124.998,,,,,,,50.0,40.0,,,2016-03-16,2015-09-16,,,,,29.33884802,-1.755245308
29854,daa2748b,Kibogora,Cyimpindu a,0.0,1.0,1.0,0.0,1.0,0.0,,0.0,1087.7959,0.123564183712006,,,,2.0,,0.0,,,2687.998,Rwanda,2016,a season,maize,,,48.562321,119.99992,32.374882,79.999954,,,,-2.27534441190541,29.2292313300927,,,nsp,0.0500047281384468,,,,0.0,,,,,,,,,,,,,,,,,,1.0,hole,good,,0.0,,,,,,0.0,526.0918,,,,,,,,,,,,,,,0.0,0.0,,,0.0,apply in hole,broadcast,,1299.9991,,,,,,,,,,,2016-02-17,2015-10-12,,,,,29.22729569,-2.278404211
29869,ddffa435,Rutsiro,busuku,0.0,0.0,0.0,0.0,0.0,2.0,,0.0,437.06088,0.123564183712006,,,,2.0,,1.0,,,1079.9993,Rwanda,2016,a season,maize,,,0.0,0.0,0.0,0.0,,,,-1.74314687847219,29.3732202853407,,,nsp,0.0500047281384468,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,0.0,,,,,,,80.0,40.0,,,2016-03-11,2015-09-11,,,,,29.4095106,-1.751044538
29877,6c4c64a3,Rutsiro,Ruhingo,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,996.39478,0.0741385072469711,,,,2.0,,1.0,,,2462.1414,Rwanda,2016,a season,maize,,,0.0,0.0,0.0,0.0,,,,-1.99791111163841,29.3491651016423,,,nsp,0.03000283613801,,,,0.0,,,,,,,,,,,,,,,,,,1.0,broadcast,average,,0.0,,,,,,0.0,2697.9063,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,6666.6611,,,,,,,80.0,50.0,,,2016-02-09,2015-10-15,,,,,29.35324059,-1.997504125
29878,a4f9c8ca,Nyanza,Rukingiro,1.0,0.0,0.0,0.0,3.0,0.0,,0.0,1578.2754,0.197702690958977,,,,2.0,,1.0,,,3899.9973,Rwanda,2016,a season,maize,,,0.0,0.0,0.0,0.0,,,,-2.32880239838321,29.9221558058457,,,nsp,0.0800075605511665,,,,0.0,,,,,,,,,,,,,,,,,,1.0,hole,average,,0.0,,,,,,0.0,4046.8601,,,,,,,,,,,,,,,0.0,0.0,,,0.0,apply in hole,apply in hole,,9999.9941,,,,,,,75.0,40.0,,,2016-02-05,2015-10-05,,,,,29.91135279,-2.317129828
29884,da7e930a,Nyanza,Nyamure,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,3197.0193,0.0741385072469711,,,,2.0,,1.0,,,7899.9946,Rwanda,2016,a season,maize,,,80.937202,199.99988,80.937202,199.99988,,,,-2.34871592859173,29.8347622995165,,,nsp,0.03000283613801,,,,0.0,,1.0,,,,,,,,,,,,,,,,1.0,hole,good,,0.0,,,,,,0.0,6744.7681,,,,,,,,,,,,,,,0.0,0.0,,,0.0,apply in hole,apply in hole,,16666.658,,,,,,,75.0,40.0,,,2016-02-08,2016-09-25,,,,,29.81091476,-2.356720031
29892,94b329ee,Gisagara,Muganza,0.0,1.0,1.0,0.0,3.0,0.0,,0.0,1752.6951,0.0370692536234856,,,,2.0,,1.0,,,4330.9971,Rwanda,2016,a season,maize,,,40.468601,99.999939,25.899904,63.999958,,,,-2.62625851752182,29.8746037833325,,,nsp,0.015001418069005,,,,0.0,,,,,,,,,,,,,,,,,,1.0,hole,good,,0.0,,,,,,0.0,2832.802,,,,,,,,,,,,,,,0.0,0.0,,,0.0,apply in hole,apply in hole,,6999.9956,,,,,,,80.0,50.0,,,2016-02-15,2015-10-05,,,,,29.87139335,-2.628193458
29901,3404db8f,Karongi,Kabingo,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,4334.187,0.296554028987885,,,,2.0,,1.0,,,10709.993,Rwanda,2016,a season,maize,,,161.8744,399.99976,80.937202,199.99988,,,,-2.2047820443279,29.5177306256158,,,nsp,0.12001134455204,,,,0.0,,,,,,,,,,,,,,,,,,1.0,hole,average,,0.0,,,,,,0.0,202.343,,,,,,,,,,,,,,,0.0,0.0,,,0.0,apply in hole,apply in hole,,499.99966,,,,,,,75.0,40.0,,,2016-02-24,2015-11-24,,,,,29.50584138,-2.212604853
29915,69882644,Nyanza,Nyamure,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,2468.5847,0.17298986017704,,,,1.0,,1.0,,,6099.9961,Rwanda,2016,a season,maize,,,161.8744,399.99976,80.937202,199.99988,,,,-2.34679742697477,29.8362628085923,,,pan_53,0.0700066238641739,,,,0.0,,,,,,,,,,,,,,,,,,1.0,hole,good,,0.0,,,,,,0.0,2890.6143,,,,,,,,,,,,,,,0.0,0.0,,,0.0,apply in hole,apply in hole,,7142.8525,,,,,,,75.0,50.0,,,2016-02-22,2015-10-09,,,,,29.81091476,-2.356720031
29917,fbf065ca,Mugonero,Bisesero,6.0,11.0,1.0,0.0,4.0,4.0,,0.0,509.90439,0.0568395219743252,,,,2.0,,1.0,,,1259.9993,Rwanda,2016,a season,maize,,,0.0,0.0,48.562321,119.99992,,,,-2.15674189551476,29.3497347650893,,,nsp,0.0230021737515926,,,,0.0,,,,,,,,,,,,,,,,,,1.0,hole,good,,0.0,,,,,,0.0,879.75214,,,,,,,,,,,,,,,0.0,1.0,,,0.0,,apply in hole,,2173.9116,,,,,,,,,,,2016-04-18,2016-11-12,,,,,29.33849058,-2.172679707
