,unique_id,district,pesticide,year,season,crop,field_latitude,field_longitude,plot_hectares,pest_disease,yield_kg_ph
63,cf290651,Rutsiro,1.0,2016,b season,potato,-1.94581542396469,29.4356435171609,0.0550052002072334,1.0,4399.9971
64,78d5ded8,Rutsiro,1.0,2016,b season,potato,-1.9182581829331,29.447224629093,0.03000283613801,1.0,5199.9966
65,2587a142,Rutsiro,1.0,2016,b season,potato,-1.92871824895252,29.4457499019461,0.150014191865921,0.0,2399.9985
66,998a2e08,Rutsiro,1.0,2016,b season,potato,-1.93903187704423,29.4246666988439,0.03000283613801,1.0,6699.9956
67,4b655c20,Rutsiro,1.0,2016,b season,potato,-1.94702769332128,29.4393637042504,0.0450042560696602,1.0,4299.9971
68,ae355802,Rutsiro,1.0,2016,b season,potato,-1.91354454114813,29.4429421667297,0.0100009450688958,0.0,4999.9971
69,1498872a,Rutsiro,1.0,2016,b season,potato,-1.95649534891076,29.4220047413742,0.0500047281384468,1.0,9599.9941
70,b5d441ab,Gatsibo,0.0,2019,a season,potato,-1.6933497,30.4096999,0.0899999961256981,0.0,20555.541
71,5e7f6f01,Rubengera,0.0,2019,a season,potato,-2.0042035,29.4911002,0.300000011920929,1.0,12777.769
72,52daee4f,Rubengera,1.0,2019,a season,potato,-2.02987148381724,29.4488780118381,0.0400000028312206,1.0,30194.424
73,22afe0e5,Gatsibo,0.0,2019,a season,potato,-1.72422826400944,30.3256661924028,0.0400000028312206,0.0,3055.5535
74,dd668b4c,Rutsiro,1.0,2019,a season,potato,-1.89984119240026,29.2964317434057,0.0400000028312206,1.0,20277.764
75,a49baeba,Rubengera,1.0,2019,a season,potato,-2.01664386174136,29.4613646803745,0.0300000011920929,1.0,22722.207
76,ba15a5da,Bugarama,0.0,2019,b season,potato,-2.6534704,28.9102148,0.0300000011920929,0.0,12777.769
77,10033486,Mugonero,1.0,2019,b season,potato,-2.27967905325086,29.3872051691133,0.0150000005960464,1.0,4999.9971
78,9e59d94c,Rutsiro,1.0,2019,b season,potato,-1.90716831538737,29.440999306711,0.025000000372529,1.0,9111.1045
79,69348481,Mugonero,1.0,2019,b season,potato,-2.28683732776268,29.3576327586882,0.0150000005960464,1.0,15555.545
80,46e3344f,Karongi,0.0,2019,b season,potato,-2.2369127,29.454103,0.0100000007078052,0.0,10555.549
81,b84241ba,Gatsibo,0.0,2019,b season,potato,-1.6580452,30.3628143,0.0700000002980232,1.0,4861.1074
82,e6f0a5fb,Karongi,0.0,2019,b season,potato,-2.2384052,29.4555505,0.0200000014156103,1.0,1599.999
83,fe846d84,Mugonero,1.0,2019,b season,potato,-2.28631366110676,29.391850510172,0.0200000014156103,1.0,4722.2192
84,257cad41,Mugonero,0.0,2019,b season,potato,-2.2277947,29.3467414,0.0120000001043081,1.0,27333.314
85,6233a3eb,Nyagatare,0.0,2019,b season,potato,-1.28477346262069,30.2580045744281,0.5,1.0,4444.4414
