,Unnamed: 0,unique_id,district,pesticide,plot_acres,country,year,season,crop,field_latitude,field_longitude,plot_hectares,compost,pest_disease
62,30128,e1b82743,Rusizi,0.0,0.0247128363698721,Rwanda,2016,a season,maize,-2.51748917043384,29.0253489486277,0.0100009450688958,1.0,0.0
63,30129,42f4adad,Rutsiro,0.0,0.0494256727397442,Rwanda,2016,a season,maize,-1.88547747859866,29.3511706050997,0.0200018901377916,1.0,0.0
64,30135,bab76bbc,Rutsiro,0.0,0.0741385072469711,Rwanda,2016,a season,maize,-1.89895880691422,29.3025315875336,0.03000283613801,1.0,0.0
65,30136,05a21415,Mugonero,1.0,0.170271441340446,Rwanda,2016,a season,maize,-2.23855383997072,29.3897600506343,0.0689065158367157,1.0,0.0
66,30137,f5c70185,Karongi,0.0,0.0370692536234856,Rwanda,2016,a season,maize,-2.14441137144944,29.3642435392845,0.015001418069005,1.0,0.0
67,30152,2c036f72,Nyanza,1.0,0.0741385072469711,Rwanda,2016,a season,maize,-2.28809026351169,29.7347280761083,0.03000283613801,0.0,0.0
68,30162,5d4252ad,Karongi,0.0,0.0864949300885201,Rwanda,2016,a season,maize,-2.08520607557148,29.4062790926546,0.0350033119320869,1.0,0.0
69,30197,443899b5,Rutsiro,0.0,0.234771952033043,Rwanda,2016,a season,maize,-1.96824252891111,29.4404207355772,0.095008984208107,1.0,1.0
70,30217,2f66012e,Karongi,1.0,0.0370692536234856,Rwanda,2016,a season,maize,-2.23855508232268,29.4331234729952,0.015001418069005,1.0,0.0
71,30235,e76973cf,Giheke,0.0,0.123564183712006,Rwanda,2016,a season,maize,-2.53921555136319,28.9382783529174,0.0500047281384468,1.0,0.0
72,30236,2fc517f1,Rutsiro,0.0,0.494256734848023,Rwanda,2016,a season,maize,-1.9028056894769,29.4099067545138,0.200018912553787,1.0,0.0
73,30251,d222ac1c,Mugonero,1.0,0.153960973024368,Rwanda,2016,a season,maize,-2.2354713309143,29.394049919091,0.0623058900237083,1.0,1.0
74,30263,213ac669,Rutsiro,0.0,0.0741385072469711,Rwanda,2016,a season,maize,-1.90348798257888,29.3043463301212,0.03000283613801,1.0,0.0
75,30264,18058751,Rusizi,0.0,0.0741385072469711,Rwanda,2016,a season,maize,-2.55087927584617,29.0154741943495,0.03000283613801,0.0,0.0
76,30266,2c395b31,Mugonero,0.0,0.123564183712006,Rwanda,2016,a season,maize,-2.12501813362608,29.2586743640948,0.0500047281384468,1.0,1.0
77,30270,e645daaf,Karongi,0.0,0.0741385072469711,Rwanda,2016,a season,maize,-2.17420023384035,29.3672135997278,0.03000283613801,1.0,1.0
78,30280,1c5a801b,Giheke,0.0,0.0741385072469711,Rwanda,2016,a season,maize,-2.56232457972526,28.9411475843851,0.03000283613801,1.0,0.0
79,30304,bd4e5210,Nyanza,0.0,0.123564183712006,Rwanda,2016,a season,maize,-2.32678498758716,29.9084194085263,0.0500047281384468,1.0,0.0
80,30353,aad6aca0,Rutsiro,0.0,0.170518577098846,Rwanda,2016,a season,maize,-1.96013475382178,29.3344967126963,0.0690065249800682,1.0,0.0
81,30357,26ee75fe,Bugarama,0.0,0.0247128363698721,Rwanda,2016,a season,maize,-2.66191471402378,28.9813690778416,0.0100009450688958,1.0,0.0
82,30362,f74e2231,Gisagara,0.0,0.0247128363698721,Rwanda,2016,a season,maize,-2.6224967332929,29.8839982306045,0.0100009450688958,1.0,0.0
83,30363,ce3f8fa7,Karongi,0.0,0.0247128363698721,Rwanda,2016,a season,maize,-2.20489505641799,29.5177716875626,0.0100009450688958,1.0,0.0
84,30366,6c058fa2,Rutsiro,0.0,0.123564183712006,Rwanda,2016,a season,maize,-1.79524211906876,29.3159901640448,0.0500047281384468,1.0,0.0
85,30368,d382c8e7,Rutsiro,0.0,0.0741385072469711,Rwanda,2016,a season,maize,-1.79041887858661,29.3067417523664,0.03000283613801,1.0,0.0
86,30381,74870337,Rubengera,1.0,0.0741385072469711,Rwanda,2016,a season,maize,-2.0900011305443,29.4968931668678,0.03000283613801,1.0,1.0
87,30400,87b7a135,Rutsiro,0.0,0.0247128363698721,Rwanda,2016,b season,maize,-1.76026626249227,29.3197349457331,0.0100009450688958,0.0,0.0
88,30401,c4a6da8a,Rutsiro,0.0,0.123564183712006,Rwanda,2016,b season,maize,-1.78342674676312,29.3202584061919,0.0500047281384468,1.0,0.0
89,30407,83e8e77d,Gatsibo,0.0,0.0741385072469711,Rwanda,2016,b season,maize,-1.6208934583359,30.3122335413175,0.03000283613801,0.0,0.0
90,30412,78efda6e,Nyamagabe,1.0,0.0370692536234856,Rwanda,2016,b season,maize,-2.46172310625381,29.5176013406261,0.015001418069005,1.0,0.0
91,30419,a2c0a2ec,Rutsiro,0.0,0.123564183712006,Rwanda,2016,b season,maize,-1.79426930442031,29.3088662015493,0.0500047281384468,1.0,0.0
92,30421,deba9554,Rutsiro,1.0,0.0864949300885201,Rwanda,2016,b season,maize,-1.75976677427281,29.3179421456389,0.0350033119320869,1.0,1.0
93,30489,6f520c6e,Rutsiro,0.0,0.0494256727397442,Rwanda,2016,b season,maize,-1.89178549478361,29.3369801928677,0.0200018901377916,1.0,0.0
94,30493,34aa1966,Rutsiro,0.0,0.0741385072469711,Rwanda,2016,b season,maize,-1.79459936343593,29.3154673298011,0.03000283613801,1.0,0.0
95,30503,2f530f78,Gatsibo,0.0,0.0741385072469711,Rwanda,2016,b season,maize,-1.60224053060868,30.3610500028275,0.03000283613801,0.0,0.0
96,30506,257e43f3,Rutsiro,1.0,0.0247128363698721,Rwanda,2016,b season,maize,-1.75937044433433,29.3179518175737,0.0100009450688958,1.0,0.0
97,30507,a3680f71,Rutsiro,0.0,0.0617820918560028,Rwanda,2016,b season,maize,-1.81798965922095,29.3135553967994,0.0250023640692234,1.0,0.0
98,30510,f24c2428,Karongi,1.0,0.0370692536234856,Rwanda,2016,b season,maize,-2.24208989394414,29.4754830983337,0.015001418069005,1.0,0.0
99,30512,92eed6fb,Rutsiro,0.0,0.0741385072469711,Rwanda,2016,b season,maize,-1.82550774860154,29.3218640787346,0.03000283613801,1.0,0.0
100,30520,c3963ac5,Rutsiro,0.0,0.0247128363698721,Rwanda,2016,b season,maize,-1.86451275539851,29.3490974601313,0.0100009450688958,0.0,0.0
101,30533,e212a548,Rutsiro,0.0,0.135920599102974,Rwanda,2016,b season,maize,-1.97305390047177,29.4186469134974,0.0550052002072334,0.0,1.0
102,30542,b9b65312,Rutsiro,0.0,0.0370692536234856,Rwanda,2016,b season,maize,-1.75422426101684,29.317552087269,0.015001418069005,1.0,0.0
103,30554,2d2f22fc,Nyanza,0.0,0.0247128363698721,Rwanda,2016,b season,maize,-2.3748900714044,29.8844884321839,0.0100009450688958,1.0,1.0
104,30564,cf7891e7,Rutsiro,0.0,0.0370692536234856,Rwanda,2016,b season,maize,-1.87407736478466,29.3679821750264,0.015001418069005,1.0,0.0
105,30568,1c59d116,Rutsiro,0.0,0.123564183712006,Rwanda,2016,b season,maize,-1.77893850663589,29.3173960248061,0.0500047281384468,1.0,0.0
