,unique_id,district,pesticide,year,season,crop,field_latitude,field_longitude,plot_hectares,pest_disease,yield_kg_ph,geometry,NDVI,EVI,SAVI,GNDVI
142,e289d44d,Rutsiro,0.0,2016,b season,maize,-1.7911285220604,29.3038052785437,0.03000283613801,0.0,5799.9961,"POLYGON ((29.303649679129588 -1.790972922646289, 29.30396087795781 -1.790972922646289, 29.30396087795781 -1.7912841214745112, 29.303649679129588 -1.7912841214745112, 29.303649679129588 -1.790972922646289))",0.4796072251936427,-1.6139730035198936,0.7192698502541076,0.3635091368452012
143,f9309832,Rutsiro,0.0,2016,b season,maize,-1.97552847726913,29.442222596915,0.0200018901377916,0.0,5199.9966,"POLYGON ((29.442095550527355 -1.9754014308814856, 29.44234964330264 -1.9754014308814856, 29.44234964330264 -1.9756555236567743, 29.442095550527355 -1.9756555236567743, 29.442095550527355 -1.9754014308814856))",0.5614481233153632,-3.3088186943269613,0.8420208911359217,0.4425584426598365
144,78124584,Rutsiro,0.0,2016,b season,maize,-1.7602766161456,29.3199148576188,0.0250023640692234,0.0,14199.99,"POLYGON ((29.3197728154353 -1.7601345739620975, 29.320056899802303 -1.7601345739620975, 29.320056899802303 -1.7604186583291026, 29.3197728154353 -1.7604186583291026, 29.3197728154353 -1.7601345739620975))",0.6668542883316863,10.213908412224132,1.000161707593918,0.562940903580198
145,1817d873,Rutsiro,0.0,2016,b season,maize,-1.8749314280023,29.3543328963275,0.015001418069005,0.0,0.0,"POLYGON ((29.35422287092663 -1.8748214026014332, 29.354442921728367 -1.8748214026014332, 29.354442921728367 -1.8750414534031667, 29.35422287092663 -1.8750414534031667, 29.35422287092663 -1.8748214026014332))",0.577209749433868,-21.59737149021543,0.8656911468435241,0.4994974145318573
146,b3eba3e3,Rutsiro,0.0,2016,b season,maize,-1.87008810381086,29.3464485813084,0.0200018901377916,0.0,5199.9966,"POLYGON ((29.346321534920758 -1.8699610574232157, 29.346575627696044 -1.8699610574232157, 29.346575627696044 -1.8702151501985045, 29.346321534920758 -1.8702151501985045, 29.346321534920758 -1.8699610574232157))",0.4482479431960415,5.864591646653089,0.6722839351723153,0.4355995166693824
147,3ac11bf8,Rutsiro,0.0,2016,b season,maize,-1.75688774259356,29.3142286319338,0.03000283613801,0.0,12399.992,"POLYGON ((29.31407303251969 -1.756732143179449, 29.314384231347912 -1.756732143179449, 29.314384231347912 -1.7570433420076712, 29.31407303251969 -1.7570433420076712, 29.31407303251969 -1.756732143179449))",0.2095357626676559,4.1453900709219855,0.3142754727126086,0.2322863340377807
148,d2c148e0,Bugarama,0.0,2016,b season,maize,-2.64186536654857,29.0489363971608,0.100009456276894,0.0,10199.994,"POLYGON ((29.048652312793795 -2.6415812821815647, 29.049220481527808 -2.6415812821815647, 29.049220481527808 -2.642149450915575, 29.048652312793795 -2.642149450915575, 29.048652312793795 -2.6415812821815647))",0.5802063325943458,-6.151322590127625,0.8701782694107763,0.4823933116707978
149,6ccac1d1,Rutsiro,0.0,2016,b season,maize,-1.76565090440873,29.3219158283355,0.03000283613801,0.0,6199.9961,"POLYGON ((29.321760228921388 -1.765495304994619, 29.32207142774961 -1.765495304994619, 29.32207142774961 -1.7658065038228412, 29.321760228921388 -1.7658065038228412, 29.321760228921388 -1.765495304994619))",0.4190176542397517,-0.7484209854805428,0.628350034290094,0.262971953392788
150,77dc3c7f,Rutsiro,1.0,2016,b season,maize,-1.80393416421008,29.3183557645276,0.0100009450688958,0.0,5299.9961,"POLYGON ((29.31826592916537 -1.8038443288478514, 29.318445599889827 -1.8038443288478514, 29.318445599889827 -1.8040239995723084, 29.31826592916537 -1.8040239995723084, 29.31826592916537 -1.8038443288478514))",0.4190176542397517,-0.7484209854805428,0.628350034290094,0.262971953392788
151,1993a6a6,Rutsiro,1.0,2016,b season,maize,-1.81472211363727,29.316296209133,0.0250023640692234,0.0,10399.993,"POLYGON ((29.3161541669495 -1.8145800714537674, 29.3164382513165 -1.8145800714537674, 29.3164382513165 -1.8148641558207725, 29.3161541669495 -1.8148641558207725, 29.3161541669495 -1.8145800714537674))",0.1912499964237213,1.7674239507123604,0.2868451202999687,0.2189298719167709
152,a26d91ac,Nyanza,0.0,2016,b season,maize,-2.37397307958482,29.887963535263,0.0750070959329605,0.0,4799.9971,"POLYGON ((29.88771751097825 -2.373727055300066, 29.888209559547754 -2.373727055300066, 29.888209559547754 -2.374219103869574, 29.88771751097825 -2.374219103869574, 29.88771751097825 -2.373727055300066))",0.4582524600041305,7.469230854577844,0.6872820976167243,0.4513177717704653
153,430498d9,Rutsiro,0.0,2016,b season,maize,-1.757591131383,29.3671919824841,0.0200018901377916,0.0,14599.99,"POLYGON ((29.367064936096458 -1.7574640849953556, 29.367319028871744 -1.7574640849953556, 29.367319028871744 -1.7577181777706443, 29.367064936096458 -1.7577181777706443, 29.367064936096458 -1.7574640849953556))",0.532994959572737,-1.2935754151182848,0.7992795490440997,0.367947639975912
154,628db432,Rutsiro,0.0,2016,b season,maize,-1.82544715136295,29.3219378207123,0.015001418069005,0.0,3799.9973,"POLYGON ((29.32182779531143 -1.8253371259620832, 29.32204784611317 -1.8253371259620832, 29.32204784611317 -1.8255571767638168, 29.32182779531143 -1.8255571767638168, 29.32182779531143 -1.8253371259620832))",0.6113084669206655,-8.295697697922636,0.9168429584095662,0.5076694007597717
155,19177273,Rutsiro,0.0,2016,b season,maize,-1.76698790138521,29.3220813701089,0.0400037802755833,0.0,10599.992,"POLYGON ((29.321901699384444 -1.7668082306607527, 29.322261040833357 -1.7668082306607527, 29.322261040833357 -1.7671675721096671, 29.321901699384444 -1.7671675721096671, 29.321901699384444 -1.7668082306607527))",0.5588738262492613,-23.257572567320366,0.8381994287757388,0.4822911058798466
156,e57f242b,Rutsiro,0.0,2016,b season,maize,-1.86929590121722,29.3419987220382,0.0100009450688958,0.0,0.0,"POLYGON ((29.34190888667597 -1.8692060658549914, 29.342088557400427 -1.8692060658549914, 29.342088557400427 -1.8693857365794484, 29.34190888667597 -1.8693857365794484, 29.34190888667597 -1.8692060658549914))",0.5028934565914742,28.541090087365305,0.7542218302974247,0.4444354433014301
157,e71390aa,Rutsiro,0.0,2016,b season,maize,-1.74752368016034,29.3085260264645,0.0600056722760201,0.0,12999.991,"POLYGON ((29.308305975662766 -1.7473036293586066, 29.308746077266232 -1.7473036293586066, 29.308746077266232 -1.7477437309620734, 29.308305975662766 -1.7477437309620734, 29.308305975662766 -1.7473036293586066))",0.1931032370872448,-0.7020993892245253,0.289597567967686,0.1447258381259873
158,95e2790c,Rutsiro,0.0,2016,b season,maize,-1.90653486021282,29.3907091865626,0.0100009450688958,1.0,1599.999,"POLYGON ((29.39061935120037 -1.9064450248505915, 29.390799021924828 -1.9064450248505915, 29.390799021924828 -1.9066246955750485, 29.39061935120037 -1.9066246955750485, 29.39061935120037 -1.9064450248505915))",0.5556336421961874,-3.558006971621355,0.8332927275962395,0.4670355064653672
159,480fe90c,Rutsiro,0.0,2016,b season,maize,-1.87001893923585,29.3479785705853,0.0200018901377916,0.0,0.0,"POLYGON ((29.347851524197658 -1.8698918928482056, 29.348105616972944 -1.8698918928482056, 29.348105616972944 -1.8701459856234943, 29.347851524197658 -1.8701459856234943, 29.347851524197658 -1.8698918928482056))",0.4883038526510491,4.68969665110258,0.7323679705852565,0.4656589971453536
160,3cd41d00,Rutsiro,0.0,2016,b season,maize,-1.94559888433519,29.4337582562575,0.0100009450688958,0.0,3399.9978,"POLYGON ((29.433668420895273 -1.9455090489729614, 29.43384809161973 -1.9455090489729614, 29.43384809161973 -1.9456887196974184, 29.433668420895273 -1.9456887196974184, 29.433668420895273 -1.9455090489729614))",0.382481187582016,-0.9006906850849355,0.5736080840103032,0.2743880152702331
161,c62c42bc,Rutsiro,0.0,2016,b season,maize,-1.76810992682904,29.3604003416424,0.015001418069005,0.0,5699.9961,"POLYGON ((29.36029031624153 -1.767999901428173, 29.36051036704327 -1.767999901428173, 29.36051036704327 -1.7682199522299067, 29.36029031624153 -1.7682199522299067, 29.36029031624153 -1.767999901428173))",0.5376560604369983,11.453880676431176,0.8063755408314369,0.490581386277632
162,f0915743,Rutsiro,0.0,2016,b season,maize,-1.94926943908149,29.4451097884838,0.0400037802755833,1.0,1199.9993,"POLYGON ((29.444930117759345 -1.9490897683570327, 29.445289459208258 -1.9490897683570327, 29.445289459208258 -1.9494491098059472, 29.444930117759345 -1.9494491098059472, 29.444930117759345 -1.9490897683570327))",0.5512392347313694,-1.2148942519486952,0.8266617887278483,0.3740901879428588
